index,nl_intent,nl_intent_normalized,intent_type,action,expectation_type,endpoint,lifecycle_status,resource_id,resource_name,resource_version,priority,context,is_bundle,service_type,quality_level,latency,throughput,availability,max_participants,reporting_interval
795,Modify intent 42996 description,modify intent 42996 description,IntentSpecification,PATCH,,/intentspecification,Created,42996,MissionCriticalProvisionC,3.5,3,5G networks,False,IoTService,1080pHD,50 ms,10 Gbps,99.999%,200,5
796,Generate compliance status report,generate compliance status report,Intent,GET (IntentReport),ReportingExpectation,/intent,Created,90462,SmartGridIntentv2,4.7,2,Smart city,True,CloudService,Basic,50 ms,500 Mbps,99.99%,200,30
797,What intents exist for Cloud services?,what intents exist for cloud services?,IntentReport,GET,,/intentreport,Created,70339,VideoStreamServicev1,1.7,1,Cloud services,True,EventWirelessAccess,480p,20 ms,100 Mbps,99.95%,200,30
798,Alter the properties of ConnectedCarServiceC,alter the properties of connectedcarservicec,IntentSpecification,PATCH,,/intentspecification,Created,33161,ConnectedCarServiceC,1.1,1,intent-based networks,True,EdgeComputing,1080pHD,20 ms,1 Gbps,99.9%,200,5
799,Generate intent assessment report,generate intent assessment report,IntentReport,GET (IntentReport),,/intentreport,Active,79434,SmartGridServicev1,3.4,4,Smart city,False,CloudService,480p,5 ms,1 Gbps,99.95%,5000,5
800,View the VideoStreamSetupv1 intent,view the videostreamsetupv1 intent,IntentReport,GET,,/intentreport,Created,38417,VideoStreamSetupv1,5.4,3,IoT networks,False,VideoStreaming,Basic,5 ms,1 Gbps,99.99%,5000,10
801,Register a service intent for provide video streaming service for the event venue,register a service intent for provide video streaming service for the event venue,Intent,POST,ReportingExpectation,/intent,Active,52447,AutonomousProvisionB,3.7,4,Edge computing,False,DataAnalytics,Standard,20 ms,1 Gbps,99.9%,50,30
802,Get compliance report for MissionCriticalSetupB,get compliance report for missioncriticalsetupb,ProbeIntent,GET (IntentReport),ReportingExpectation,/intent,Created,34723,MissionCriticalSetupB,5.1,4,Edge computing,False,NetworkSlice,4KUHD,5 ms,500 Mbps,99.9%,5000,15
803,Configure a new VoiceService intent,configure a new voiceservice intent,Intent,POST,PropertyExpectation,/intent,Created,90592,SmartCityDeploymentA,4.6,3,5G networks,False,VoiceService,480p,12 ms,1 Gbps,99.999%,5000,15
804,Check status of SmartCityServiceA,check status of smartcityservicea,IntentReport,GET,,/intentreport,Active,66788,SmartCityServiceA,3.3,1,IoT networks,True,CloudService,Standard,5 ms,10 Gbps,99.95%,500,60
805,Generate report for intent 91608,generate report for intent 91608,IntentReport,GET (IntentReport),,/intentreport,Active,91608,EventLiveSetupB,5.8,3,Broadband services,False,IoTService,Basic,12 ms,500 Mbps,99.95%,100,30
806,Retrieve intent 97225 information,retrieve intent 97225 information,IntentReport,GET,,/intentreport,Created,97225,CloudServiceProvisionA,2.7,3,Edge computing,True,VoiceService,Basic,50 ms,100 Mbps,99.99%,100,15
807,Create an intent to deliver IoT connectivity for sensor networks with 10000 devices,create an intent to deliver iot connectivity for sensor networks with 10000 devices,Intent,POST,ReportingExpectation,/intent,Active,28908,MissionCriticalService001,5.4,1,Smart city,False,VoiceService,480p,50 ms,500 Mbps,99.95%,200,5
808,Erase intent FactoryAutoDeploymentA,erase intent factoryautodeploymenta,Intent,DELETE,ReportingExpectation,/intent,Active,36346,FactoryAutoDeploymentA,4.5,1,5G networks,False,NetworkSlice,4KUHD,50 ms,1 Gbps,99.99%,500,30
809,Update the deadline for intent 78303 to 2026-05-10,update the deadline for intent 78303 to 2026-05-10,Intent,PATCH,DeliveryExpectation,/intent,Active,78303,TelehealthSetupA,4.9,3,5G networks,False,BroadbandService,Premium,50 ms,100 Mbps,99.99%,100,30
810,Show all reporting events for SmartCityProvisionA,show all reporting events for smartcityprovisiona,ProbeIntent,GET (IntentReport),ReportingExpectation,/intent,Created,29863,SmartCityProvisionA,5.1,1,Broadband services,True,EdgeComputing,1080pHD,100 ms,10 Gbps,99.99%,500,10
811,Show all active intents,show all active intents,IntentSpecification,GET,,/intentspecification,Created,42004,TelehealthDeployment002,3.2,5,IoT networks,False,VoiceService,480p,12 ms,100 Mbps,99.999%,500,15
812,What intents exist for Edge computing?,what intents exist for edge computing?,ProbeIntent,GET,DeliveryExpectation,/intent,Created,54849,SmartGridService001,2.8,1,Edge computing,False,VoiceService,Standard,5 ms,1 Gbps,99.95%,1000,5
813,Start a new BroadbandService with high availability of 99.99%,start a new broadbandservice with high availability of 99.99%,Intent,POST,DeliveryExpectation,/intent,Created,77850,FactoryAutoServiceB,5.5,1,Video streaming,False,BroadbandService,1080pHD,20 ms,100 Mbps,99.99%,5000,10
814,Generate performance report for intent 41412,generate performance report for intent 41412,ProbeIntent,GET (IntentReport),PropertyExpectation,/intent,Active,41412,VideoStreamService001,2.1,3,Edge computing,False,VideoStreaming,1080pHD,10 ms,10 Gbps,99.9%,100,10
815,Search for intent 51605,search for intent 51605,ProbeIntent,GET,PropertyExpectation,/intent,Created,51605,AutonomousSetup001,4.0,2,Smart city,True,BroadbandService,4KUHD,12 ms,10 Gbps,99.95%,500,10
816,Configure a new NetworkSlice intent,configure a new networkslice intent,IntentSpecification,POST,,/intentspecification,Active,29898,SmartGridServicev2,1.8,1,Broadband services,False,NetworkSlice,Premium,100 ms,10 Gbps,99.95%,500,10
817,Get all intents with priority 3,get all intents with priority 3,ProbeIntent,GET,ReportingExpectation,/intent,Created,45069,ConnectedCarServiceB,4.4,3,Smart city,True,VoiceService,4KUHD,5 ms,1 Gbps,99.9%,100,60
818,Evaluate feasibility of enable remote surgery capabilities with 1ms latency,evaluate feasibility of enable remote surgery capabilities with 1ms latency,ProbeIntent,POST (ProbeIntent),DeliveryExpectation,/intent,Active,80862,SmartGridService001,4.6,4,Edge computing,False,VoiceService,720p,10 ms,500 Mbps,99.99%,100,15
819,Show me the intent with ID 22612,show me the intent with id 22612,Intent,GET,DeliveryExpectation,/intent,Created,22612,FactoryAutoProvision001,3.6,2,Cloud services,True,DataAnalytics,720p,100 ms,1 Gbps,99.95%,100,60
820,Set up a new intent for deploy connected logistics for supply chain management,set up a new intent for deploy connected logistics for supply chain management,IntentSpecification,POST,,/intentspecification,Active,49789,SmartGridProvision002,5.5,3,Broadband services,True,EdgeComputing,Standard,12 ms,500 Mbps,99.95%,500,15
821,Assess intent 48389 viability,assess intent 48389 viability,ProbeIntent,POST (ProbeIntent),PropertyExpectation,/intent,Created,48389,MissionCriticalServiceA,5.4,4,Enterprise networks,True,BroadbandService,720p,12 ms,500 Mbps,99.95%,1000,60
822,Get all intents with priority 4,get all intents with priority 4,Intent,GET,PropertyExpectation,/intent,Created,73143,TelehealthSetupv1,5.4,4,Smart city,True,CloudService,480p,50 ms,100 Mbps,99.9%,50,10
823,What is the current state compliance?,what is the current state compliance?,IntentReport,GET (IntentReport),,/intentreport,Active,36161,NetworkSliceServicev2,4.7,3,Smart city,True,VideoStreaming,Standard,100 ms,500 Mbps,99.99%,50,60
824,Display report for VoiceService,display report for voiceservice,Intent,GET (IntentReport),DeliveryExpectation,/intent,Active,62661,ConnectedCarServicev2,2.3,5,Enterprise networks,False,VoiceService,480p,50 ms,10 Gbps,99.999%,1000,30
825,Update the context of NetworkSliceDeploymentC to Cloud services,update the context of networkslicedeploymentc to cloud services,Intent,PATCH,PropertyExpectation,/intent,Created,34461,NetworkSliceDeploymentC,5.6,1,Cloud services,True,EventWirelessAccess,Basic,20 ms,10 Gbps,99.95%,100,30
826,Set up enable telehealth services with guaranteed bandwidth with priority 2,set up enable telehealth services with guaranteed bandwidth with priority 2,IntentSpecification,POST,,/intentspecification,Created,33181,NetworkSliceService002,4.2,2,Edge computing,False,DataAnalytics,Standard,10 ms,1 Gbps,99.9%,50,15
827,What is the current state compliance?,what is the current state compliance?,Intent,GET (IntentReport),DeliveryExpectation,/intent,Created,30388,FactoryAutoDeploymentB,1.9,4,IoT networks,True,CloudService,Basic,20 ms,1 Gbps,99.95%,100,10
828,Change IoTConnectProvisionB priority level to 2,change iotconnectprovisionb priority level to 2,Intent,PATCH,PropertyExpectation,/intent,Created,76206,IoTConnectProvisionB,4.0,2,Broadband services,True,EdgeComputing,Premium,12 ms,10 Gbps,99.95%,200,5
829,Remove completed intents,remove completed intents,IntentSpecification,DELETE,,/intentspecification,Created,80218,BroadbandIntentC,5.1,2,Edge computing,False,VoiceService,4KUHD,12 ms,500 Mbps,99.999%,5000,30
830,What is the state of ConnectedCarSetupv1?,what is the state of connectedcarsetupv1?,ProbeIntent,GET,PropertyExpectation,/intent,Created,77456,ConnectedCarSetupv1,5.3,4,Autonomous services,True,StreamingApplication,Standard,20 ms,500 Mbps,99.9%,200,30
831,What intents exist for IoT networks?,what intents exist for iot networks?,IntentSpecification,GET,,/intentspecification,Created,99202,CloudServiceServiceC,4.0,5,IoT networks,True,BroadbandService,Standard,50 ms,10 Gbps,99.99%,200,10
832,Request a StreamingApplication with network slicing capability,request a streamingapplication with network slicing capability,Intent,POST,PropertyExpectation,/intent,Created,83956,ConnectedCarSetup001,1.0,3,5G networks,False,StreamingApplication,Standard,10 ms,500 Mbps,99.999%,5000,30
833,Generate compliance status report,generate compliance status report,IntentReport,GET (IntentReport),,/intentreport,Active,44521,VideoStreamDeployment001,2.1,5,Video streaming,True,StreamingApplication,480p,12 ms,10 Gbps,99.9%,200,30
834,Get all intents with priority 3,get all intents with priority 3,IntentReport,GET,,/intentreport,Active,22420,CloudServiceServiceA,5.8,3,Edge computing,True,NetworkSlice,Standard,5 ms,10 Gbps,99.999%,1000,10
835,View the SmartGridDeploymentv1 intent,view the smartgriddeploymentv1 intent,ProbeIntent,GET,PropertyExpectation,/intent,Created,51933,SmartGridDeploymentv1,4.9,3,Edge computing,False,EdgeComputing,720p,50 ms,1 Gbps,99.95%,50,30
836,Get details of intent 76506,get details of intent 76506,IntentSpecification,GET,,/intentspecification,Active,76506,EventLiveDeploymentv1,2.0,2,IoT networks,True,EdgeComputing,Premium,50 ms,10 Gbps,99.9%,1000,30
837,Set new property value for SmartGridSetupv1,set new property value for smartgridsetupv1,Intent,PATCH,DeliveryExpectation,/intent,Active,43537,SmartGridSetupv1,2.7,2,Smart city,False,VideoStreaming,Premium,20 ms,500 Mbps,99.999%,50,15
838,Display intent 87922 details,display intent 87922 details,IntentReport,GET,,/intentreport,Created,87922,FactoryAutoServicev2,1.5,5,Smart city,False,NetworkSlice,Basic,50 ms,100 Mbps,99.95%,1000,5
839,Get the current status of EventLiveIntentC,get the current status of eventliveintentc,Intent,GET,PropertyExpectation,/intent,Created,51862,EventLiveIntentC,2.8,1,5G networks,True,DataAnalytics,Standard,12 ms,10 Gbps,99.95%,1000,60
840,Define an intent to deliver provide smart city connectivity for urban infrastructure,define an intent to deliver provide smart city connectivity for urban infrastructure,IntentSpecification,POST,,/intentspecification,Active,95837,BroadbandSetupB,2.5,3,Autonomous services,True,IoTService,Basic,10 ms,1 Gbps,99.999%,500,5
841,Set up a new intent for provide smart city connectivity for urban infrastructure,set up a new intent for provide smart city connectivity for urban infrastructure,Intent,POST,ReportingExpectation,/intent,Created,70209,NetworkSliceIntent001,2.7,2,Edge computing,False,EdgeComputing,720p,100 ms,100 Mbps,99.95%,1000,60
842,I need an intent configured for enable telehealth services with guaranteed bandwidth,i need an intent configured for enable telehealth services with guaranteed bandwidth,IntentSpecification,POST,,/intentspecification,Active,44142,GamingService001,2.3,1,Autonomous services,True,IoTService,720p,10 ms,10 Gbps,99.99%,200,30
843,What is the reporting status of TelehealthSetupB?,what is the reporting status of telehealthsetupb?,Intent,GET (IntentReport),PropertyExpectation,/intent,Created,51973,TelehealthSetupB,5.9,1,Cloud services,True,StreamingApplication,480p,100 ms,500 Mbps,99.99%,1000,60
844,Retrieve intent 88416 information,retrieve intent 88416 information,ProbeIntent,GET,DeliveryExpectation,/intent,Active,88416,TelehealthSetupv2,5.5,1,Enterprise networks,True,IoTService,1080pHD,20 ms,1 Gbps,99.95%,100,60
845,Get details of intent 75249,get details of intent 75249,Intent,GET,PropertyExpectation,/intent,Created,75249,SmartCityServicev2,1.3,4,IoT networks,False,VoiceService,Standard,50 ms,500 Mbps,99.99%,200,60
846,Get compliance report for BroadbandServicev2,get compliance report for broadbandservicev2,IntentReport,GET (IntentReport),,/intentreport,Created,71729,BroadbandServicev2,5.7,5,IoT networks,True,EdgeComputing,720p,5 ms,1 Gbps,99.99%,50,10
847,Generate performance report for intent 83719,generate performance report for intent 83719,Intent,GET (IntentReport),ReportingExpectation,/intent,Active,83719,GamingProvisionB,4.8,1,Smart city,False,CloudService,480p,12 ms,100 Mbps,99.99%,200,15
848,Update intent 35491 to deploy smart grid connectivity for utility management,update intent 35491 to deploy smart grid connectivity for utility management,Intent,PATCH,PropertyExpectation,/intent,Created,35491,CloudServiceSetupB,2.0,2,Autonomous services,True,NetworkSlice,720p,100 ms,10 Gbps,99.99%,50,60
849,Show status report of intent 49167,show status report of intent 49167,IntentReport,GET (IntentReport),,/intentreport,Created,49167,FactoryAutoIntentB,1.7,1,5G networks,False,NetworkSlice,Basic,10 ms,1 Gbps,99.999%,50,15
850,Get intent report for deploy smart grid connectivity for utility management,get intent report for deploy smart grid connectivity for utility management,ProbeIntent,GET (IntentReport),DeliveryExpectation,/intent,Active,66173,ConnectedCarSetupB,4.7,3,Edge computing,False,BroadbandService,4KUHD,20 ms,10 Gbps,99.999%,50,60
851,Look up intent 74114,look up intent 74114,IntentReport,GET,,/intentreport,Created,74114,SmartGridProvisionB,1.7,5,IoT networks,False,BroadbandService,1080pHD,100 ms,500 Mbps,99.95%,1000,5
852,Check status of EventLiveDeploymentv1,check status of eventlivedeploymentv1,ProbeIntent,GET,PropertyExpectation,/intent,Created,47899,EventLiveDeploymentv1,5.3,5,Cloud services,False,IoTService,Premium,10 ms,10 Gbps,99.99%,5000,5
853,Show all reporting events for FactoryAutoDeploymentA,show all reporting events for factoryautodeploymenta,IntentReport,GET (IntentReport),,/intentreport,Created,36250,FactoryAutoDeploymentA,1.0,4,Autonomous services,True,IoTService,1080pHD,50 ms,10 Gbps,99.95%,100,60
854,Generate report for intent 33767,generate report for intent 33767,ProbeIntent,GET (IntentReport),DeliveryExpectation,/intent,Active,33767,TelehealthProvisionC,2.1,1,Autonomous services,False,DataAnalytics,Basic,100 ms,10 Gbps,99.99%,200,5
855,Check status of TelehealthProvisionv2,check status of telehealthprovisionv2,ProbeIntent,GET,PropertyExpectation,/intent,Active,91395,TelehealthProvisionv2,4.1,2,IoT networks,True,IoTService,1080pHD,20 ms,500 Mbps,99.9%,200,30
856,Delete intent 73939,delete intent 73939,Intent,DELETE,PropertyExpectation,/intent,Active,73939,MissionCriticalDeploymentB,4.8,1,Broadband services,False,CloudService,Basic,100 ms,100 Mbps,99.999%,500,30
857,Probe VideoStreaming service configuration,probe videostreaming service configuration,ProbeIntent,POST (ProbeIntent),DeliveryExpectation,/intent,Active,76295,NetworkSliceDeploymentv1,2.5,2,IoT networks,True,VideoStreaming,Standard,50 ms,10 Gbps,99.9%,500,15
858,Get the current status of AutonomousDeployment002,get the current status of autonomousdeployment002,ProbeIntent,GET,DeliveryExpectation,/intent,Active,26598,AutonomousDeployment002,1.1,5,5G networks,True,VoiceService,720p,5 ms,1 Gbps,99.99%,500,10
859,Find intents related to StreamingApplication,find intents related to streamingapplication,Intent,GET,ReportingExpectation,/intent,Active,42942,IoTConnectSetup001,4.7,3,Autonomous services,True,StreamingApplication,480p,100 ms,1 Gbps,99.9%,1000,30
860,Clean up intent TelehealthService001,clean up intent telehealthservice001,IntentSpecification,DELETE,,/intentspecification,Active,38015,TelehealthService001,3.7,3,Broadband services,False,VideoStreaming,Standard,100 ms,100 Mbps,99.9%,5000,30
861,Check latency requirements for enable connected car services with ultra reliable low latency,check latency requirements for enable connected car services with ultra reliable low latency,ProbeIntent,POST (ProbeIntent),PropertyExpectation,/intent,Active,22239,AutonomousIntent002,2.3,2,Edge computing,True,StreamingApplication,Standard,50 ms,100 Mbps,99.999%,5000,30
862,Generate performance report for intent 76774,generate performance report for intent 76774,IntentReport,GET (IntentReport),,/intentreport,Created,76774,AutonomousDeploymentC,3.6,3,IoT networks,True,EventWirelessAccess,Standard,50 ms,500 Mbps,99.9%,200,15
863,Create an intent to enable edge computing capabilities for autonomous vehicles,create an intent to enable edge computing capabilities for autonomous vehicles,IntentSpecification,POST,,/intentspecification,Active,98738,VideoStreamService002,1.0,4,Smart city,False,BroadbandService,480p,100 ms,100 Mbps,99.99%,200,60
864,Display intent 23691 details,display intent 23691 details,ProbeIntent,GET,DeliveryExpectation,/intent,Active,23691,TelehealthSetupB,3.0,5,Edge computing,False,IoTService,480p,5 ms,500 Mbps,99.999%,500,5
865,Generate intent for enable remote surgery capabilities with 1ms latency,generate intent for enable remote surgery capabilities with 1ms latency,Intent,POST,ReportingExpectation,/intent,Active,44561,IoTConnectProvisionC,4.6,1,Autonomous services,True,VoiceService,720p,20 ms,100 Mbps,99.99%,200,30
866,Place an intent for enable remote surgery capabilities with 1ms latency,place an intent for enable remote surgery capabilities with 1ms latency,Intent,POST,DeliveryExpectation,/intent,Active,31725,GamingSetup002,5.9,2,Edge computing,True,EventWirelessAccess,Standard,100 ms,500 Mbps,99.95%,1000,30
867,What would happen if we deploy network slice with 99.999% availability?,what would happen if we deploy network slice with 99.999% availability?,ProbeIntent,POST (ProbeIntent),DeliveryExpectation,/intent,Active,47044,SmartCityService002,2.7,4,Enterprise networks,False,EdgeComputing,720p,10 ms,10 Gbps,99.9%,500,30
868,Generate compliance status report,generate compliance status report,IntentReport,GET (IntentReport),,/intentreport,Active,35205,BroadbandDeploymentv1,4.4,3,Edge computing,True,CloudService,Premium,5 ms,10 Gbps,99.999%,50,5
869,Modify intent 85369 description,modify intent 85369 description,Intent,PATCH,PropertyExpectation,/intent,Created,85369,EdgeComputeService002,4.4,2,Smart city,True,BroadbandService,Basic,20 ms,100 Mbps,99.95%,50,10
870,Get monitoring data for GamingDeployment002,get monitoring data for gamingdeployment002,Intent,GET (IntentReport),PropertyExpectation,/intent,Created,77653,GamingDeployment002,5.8,4,IoT networks,False,NetworkSlice,720p,10 ms,1 Gbps,99.95%,100,15
871,Terminate intent ConnectedCarSetup002,terminate intent connectedcarsetup002,IntentSpecification,DELETE,,/intentspecification,Created,56491,ConnectedCarSetup002,4.5,5,Autonomous services,True,EventWirelessAccess,Basic,100 ms,500 Mbps,99.999%,100,15
872,Destroy intent 94825,destroy intent 94825,IntentSpecification,DELETE,,/intentspecification,Active,94825,MissionCriticalSetupA,4.8,1,Enterprise networks,True,NetworkSlice,Premium,10 ms,1 Gbps,99.95%,1000,5
873,Register a service intent for deliver IoT connectivity for sensor networks with 10000 devices,register a service intent for deliver iot connectivity for sensor networks with 10000 devices,IntentSpecification,POST,,/intentspecification,Created,36418,GamingSetupC,4.2,4,Enterprise networks,True,IoTService,Standard,100 ms,100 Mbps,99.999%,200,60
874,Take down intent 82421,take down intent 82421,IntentSpecification,DELETE,,/intentspecification,Active,82421,SmartCityDeploymentC,3.3,4,Autonomous services,True,EdgeComputing,Standard,5 ms,1 Gbps,99.99%,1000,15
875,Report on intent 54024,report on intent 54024,IntentSpecification,GET,,/intentspecification,Active,54024,CloudServiceIntent001,5.7,3,Edge computing,False,EdgeComputing,4KUHD,12 ms,10 Gbps,99.99%,5000,5
876,Change the target of intent 79917,change the target of intent 79917,Intent,PATCH,ReportingExpectation,/intent,Created,79917,ConnectedCarIntent001,3.7,1,Enterprise networks,False,DataAnalytics,4KUHD,12 ms,1 Gbps,99.999%,200,10
877,What intents exist for Edge computing?,what intents exist for edge computing?,IntentReport,GET,,/intentreport,Created,74494,EventLiveProvisionB,1.8,1,Edge computing,False,IoTService,4KUHD,20 ms,100 Mbps,99.9%,200,10
878,Discontinue intent 34459,discontinue intent 34459,Intent,DELETE,DeliveryExpectation,/intent,Created,34459,TelehealthSetupA,3.8,1,Edge computing,True,DataAnalytics,Standard,20 ms,10 Gbps,99.9%,100,15
879,What is the reporting status of AutonomousSetupB?,what is the reporting status of autonomoussetupb?,Intent,GET (IntentReport),DeliveryExpectation,/intent,Created,94692,AutonomousSetupB,2.3,3,Broadband services,True,VoiceService,720p,12 ms,500 Mbps,99.999%,200,5
880,What intents exist for IoT networks?,what intents exist for iot networks?,IntentSpecification,GET,,/intentspecification,Active,57115,FactoryAutoProvisionv1,1.5,2,IoT networks,False,EventWirelessAccess,Basic,12 ms,500 Mbps,99.95%,5000,5
881,Check status of ConnectedCarProvisionB,check status of connectedcarprovisionb,ProbeIntent,GET,PropertyExpectation,/intent,Active,74746,ConnectedCarProvisionB,5.4,4,intent-based networks,False,IoTService,1080pHD,20 ms,500 Mbps,99.95%,100,10
882,Display intent 22180 details,display intent 22180 details,ProbeIntent,GET,ReportingExpectation,/intent,Created,22180,MissionCriticalServicev1,4.3,4,Enterprise networks,False,IoTService,480p,50 ms,1 Gbps,99.9%,500,60
883,Take down intent 33428,take down intent 33428,IntentSpecification,DELETE,,/intentspecification,Created,33428,MissionCriticalService002,1.0,4,Broadband services,False,IoTService,480p,10 ms,10 Gbps,99.99%,5000,5
884,Update intent 37988 with new values,update intent 37988 with new values,Intent,PATCH,ReportingExpectation,/intent,Created,37988,IoTConnectIntentA,2.3,3,Cloud services,True,CloudService,Premium,12 ms,500 Mbps,99.999%,100,30
885,Find intent named AutonomousSetupC,find intent named autonomoussetupc,IntentSpecification,GET,,/intentspecification,Active,27587,AutonomousSetupC,5.2,5,Edge computing,True,StreamingApplication,1080pHD,100 ms,500 Mbps,99.99%,100,60
886,Purge intent 80699,purge intent 80699,IntentSpecification,DELETE,,/intentspecification,Created,80699,GamingSetup002,5.7,4,Edge computing,False,VideoStreaming,480p,12 ms,500 Mbps,99.95%,1000,5
887,Request a CloudService with coverage in stadium arena,request a cloudservice with coverage in stadium arena,Intent,POST,ReportingExpectation,/intent,Created,97184,IoTConnectSetup001,2.3,2,Cloud services,True,CloudService,480p,5 ms,10 Gbps,99.999%,5000,15
888,Get intent state report,get intent state report,ProbeIntent,GET (IntentReport),PropertyExpectation,/intent,Created,93488,SmartGridServiceA,5.5,4,Edge computing,True,NetworkSlice,720p,10 ms,500 Mbps,99.99%,500,60
889,Create intent to provision enable telehealth services with guaranteed bandwidth,create intent to provision enable telehealth services with guaranteed bandwidth,IntentSpecification,POST,,/intentspecification,Created,52285,EdgeComputeServiceB,5.3,4,intent-based networks,False,EdgeComputing,480p,10 ms,100 Mbps,99.999%,1000,30
890,Remove the VoiceService intent,remove the voiceservice intent,IntentSpecification,DELETE,,/intentspecification,Active,44285,CloudServiceSetupv1,4.8,5,Smart city,True,VoiceService,Basic,5 ms,10 Gbps,99.95%,5000,15
891,Look up intent 26978,look up intent 26978,ProbeIntent,GET,PropertyExpectation,/intent,Created,26978,ConnectedCarSetup002,3.4,1,Edge computing,True,EventWirelessAccess,480p,10 ms,1 Gbps,99.9%,100,5
892,Display report for EventWirelessAccess,display report for eventwirelessaccess,IntentReport,GET (IntentReport),,/intentreport,Created,78366,NetworkSliceIntentv1,3.9,3,Cloud services,False,EventWirelessAccess,Premium,10 ms,1 Gbps,99.95%,100,10
893,Cancel intent 35045,cancel intent 35045,Intent,DELETE,PropertyExpectation,/intent,Active,35045,SmartGridService001,4.6,2,IoT networks,False,NetworkSlice,480p,50 ms,1 Gbps,99.99%,1000,60
894,I need an intent configured for enable high bandwidth connectivity for the convention center,i need an intent configured for enable high bandwidth connectivity for the convention center,Intent,POST,PropertyExpectation,/intent,Active,57700,GamingSetup002,4.9,3,Edge computing,False,VideoStreaming,1080pHD,100 ms,500 Mbps,99.99%,5000,5
895,Evaluate provide low latency connectivity for factory automation with 5ms latency parameters,evaluate provide low latency connectivity for factory automation with 5ms latency parameters,ProbeIntent,POST (ProbeIntent),ReportingExpectation,/intent,Created,53491,TelehealthSetupC,2.7,5,Video streaming,False,DataAnalytics,1080pHD,10 ms,500 Mbps,99.99%,500,10
896,Delete expired intents,delete expired intents,IntentSpecification,DELETE,,/intentspecification,Created,81912,AutonomousServicev1,5.7,4,Video streaming,False,BroadbandService,Standard,20 ms,500 Mbps,99.9%,200,30
897,List all intents in the system,list all intents in the system,ProbeIntent,GET,DeliveryExpectation,/intent,Created,70995,EventLiveService002,2.7,3,5G networks,False,IoTService,480p,100 ms,1 Gbps,99.9%,500,5
898,View the NetworkSliceDeploymentv2 intent,view the networkslicedeploymentv2 intent,IntentSpecification,GET,,/intentspecification,Created,61719,NetworkSliceDeploymentv2,1.9,5,Edge computing,True,CloudService,Basic,50 ms,500 Mbps,99.99%,5000,10
899,Edit intent 24891 specifications,edit intent 24891 specifications,IntentSpecification,PATCH,,/intentspecification,Active,24891,NetworkSliceDeploymentA,1.4,1,Autonomous services,True,CloudService,Premium,100 ms,100 Mbps,99.99%,200,15
900,Adjust NetworkSliceServiceA parameters,adjust networksliceservicea parameters,Intent,PATCH,PropertyExpectation,/intent,Created,84010,NetworkSliceServiceA,1.4,3,intent-based networks,False,VoiceService,480p,100 ms,1 Gbps,99.95%,500,15
901,Check status of IoTConnectProvision002,check status of iotconnectprovision002,IntentReport,GET,,/intentreport,Created,33678,IoTConnectProvision002,3.2,1,IoT networks,False,CloudService,1080pHD,12 ms,1 Gbps,99.95%,50,5
902,View the SmartGridSetup002 intent,view the smartgridsetup002 intent,IntentReport,GET,,/intentreport,Active,94956,SmartGridSetup002,2.8,1,5G networks,False,VideoStreaming,720p,20 ms,1 Gbps,99.999%,500,60
903,Erase intent VideoStreamSetupv1,erase intent videostreamsetupv1,Intent,DELETE,ReportingExpectation,/intent,Created,44334,VideoStreamSetupv1,4.4,2,Cloud services,True,NetworkSlice,Standard,12 ms,1 Gbps,99.999%,5000,5
904,Place an intent for deploy network slice with 99.999% availability,place an intent for deploy network slice with 99.999% availability,IntentSpecification,POST,,/intentspecification,Active,74786,NetworkSliceSetup001,1.0,2,5G networks,True,DataAnalytics,4KUHD,100 ms,10 Gbps,99.95%,100,15
905,Define an intent to deliver enable high bandwidth connectivity for the convention center,define an intent to deliver enable high bandwidth connectivity for the convention center,IntentSpecification,POST,,/intentspecification,Created,71582,ConnectedCarSetupC,3.4,4,Video streaming,False,EventWirelessAccess,Standard,12 ms,10 Gbps,99.95%,500,10
906,Change the priority of intent 47407 to 5,change the priority of intent 47407 to 5,IntentSpecification,PATCH,,/intentspecification,Active,47407,BroadbandDeploymentA,3.6,5,Autonomous services,False,EdgeComputing,Premium,50 ms,100 Mbps,99.9%,100,30
907,Initiate deliver 4K ultra HD video streaming to 200 participants in the stadium service intent,initiate deliver 4k ultra hd video streaming to 200 participants in the stadium service intent,Intent,POST,PropertyExpectation,/intent,Created,78926,TelehealthProvisionB,3.7,1,Smart city,False,BroadbandService,720p,100 ms,500 Mbps,99.999%,500,10
908,Show all reporting events for BroadbandDeploymentC,show all reporting events for broadbanddeploymentc,ProbeIntent,GET (IntentReport),ReportingExpectation,/intent,Active,20914,BroadbandDeploymentC,2.3,3,Video streaming,False,VoiceService,480p,50 ms,100 Mbps,99.95%,1000,10
909,Register a service intent for enable edge computing capabilities for autonomous vehicles,register a service intent for enable edge computing capabilities for autonomous vehicles,IntentSpecification,POST,,/intentspecification,Created,96322,SmartCityDeploymentB,1.5,2,Video streaming,False,DataAnalytics,Basic,20 ms,100 Mbps,99.999%,100,15
910,Display intent 94851 details,display intent 94851 details,IntentReport,GET,,/intentreport,Created,94851,AutonomousSetupv1,1.4,1,Smart city,True,IoTService,Standard,100 ms,100 Mbps,99.9%,500,10
911,Generate intent assessment report,generate intent assessment report,ProbeIntent,GET (IntentReport),DeliveryExpectation,/intent,Active,91518,EventLiveIntentC,1.9,2,Autonomous services,True,DataAnalytics,720p,5 ms,100 Mbps,99.95%,200,15
